"","Origin","Dest","mean_delay","n"
"1","ABE","ATL",46.0681818181818,484
"2","ABE","BWI",61,1
"3","ABE","CLE",22.2467948717949,312
"4","ABE","CLT",19.0925925925926,108
"5","ABE","CVG",22.2258064516129,310
"6","ABE","DTW",29.9339207048458,454
"7","ABE","JFK",57.3333333333333,3
"8","ABE","LGA",38.3333333333333,3
"9","ABE","ORD",53.9551401869159,535
"10","ABI","DFW",38.7112546125461,1084
"11","ABQ","AMA",24.9866310160428,374
"12","ABQ","ATL",20.7429805615551,463
"13","ABQ","AUS",36.3965517241379,58
"14","ABQ","BWI",15.9108910891089,101
"15","ABQ","CLE",18.5,6
"16","ABQ","CVG",21.2133333333333,225
"17","ABQ","DAL",21.6558978211871,1331
"18","ABQ","DEN",27.0504518072289,1328
"19","ABQ","DFW",31.207336523126,1254
"20","ABQ","ELP",23.9314159292035,452
"21","ABQ","EWR",45.71,100
"22","ABQ","HOU",23.3341176470588,425
"23","ABQ","IAD",26.0412371134021,194
"24","ABQ","IAH",29.729490022173,902
"25","ABQ","LAS",22.2489837398374,984
"26","ABQ","LAX",23.1013443640124,967
"27","ABQ","LBB",21.3453608247423,194
"28","ABQ","MAF",22.7570093457944,214
"29","ABQ","MCI",21.4539007092199,282
"30","ABQ","MCO",19.0880503144654,318
"31","ABQ","MDW",27,189
"32","ABQ","MSP",26.5377049180328,305
"33","ABQ","OAK",25.6881720430108,372
"34","ABQ","OKC",35.4409448818898,127
"35","ABQ","ONT",30.4128440366972,109
"36","ABQ","ORD",34.9775641025641,312
"37","ABQ","PDX",24.3132530120482,166
"38","ABQ","PHX",24.4209419680404,2378
"39","ABQ","SAN",29.7953020134228,298
"40","ABQ","SAT",26.968253968254,63
"41","ABQ","SEA",28.9095744680851,188
"42","ABQ","SFO",33.9776536312849,358
"43","ABQ","SLC",21.7831813576494,987
"44","ABQ","SMF",23.1225806451613,155
"45","ABQ","STL",18.0773195876289,194
"46","ABQ","TPA",19.2922077922078,154
"47","ABQ","TUL",29.6781609195402,87
"48","ABQ","TUS",20.5748987854251,247
"49","ABY","ATL",30.079754601227,652
"50","ACK","EWR",93.2673267326733,101
"51","ACK","JFK",79.304347826087,69
"52","ACT","DFW",29.5134529147982,892
"53","ACV","CEC",25.9216589861751,217
"54","ACV","SFO",41.3732718894009,1302
"55","ACV","SMF",23.1303370786517,445
"56","ACY","ATL",50.5016611295681,301
"57","ACY","BOS",35.5,2
"58","ACY","JFK",55,1
"59","ACY","LGA",76.0909090909091,11
"60","ACY","MCO",31.6578947368421,38
"61","ACY","MYR",252,1
"62","ADK","AKN",43.5,26
"63","ADK","ANC",31.125,8
"64","ADQ","ANC",27.7391304347826,322
"65","AEX","ATL",34.5757071547421,601
"66","AEX","DFW",39.0286396181384,419
"67","AEX","IAH",29.2006472491909,309
"68","AGS","ATL",43.0534351145038,1048
"69","AGS","CLT",20.6428571428571,14
"70","AGS","LGA",76,4
"71","AKN","ADK",41.5833333333333,24
"72","AKN","ANC",43.8333333333333,90
"73","AKN","DLG",26.0434782608696,23
"74","ALB","ATL",41.678247734139,662
"75","ALB","BWI",27.3543240973971,1191
"76","ALB","CLE",43.5610859728507,663
"77","ALB","CLT",30.598971722365,389
"78","ALB","CVG",24.5452322738386,409
"79","ALB","DCA",20.3768844221106,199
"80","ALB","DTW",28.3164128595601,591
"81","ALB","EWR",62,647
"82","ALB","JFK",51.2432432432432,37
"83","ALB","LAS",12.3854166666667,96
"84","ALB","LGA",87,2
"85","ALB","MCO",39.1962264150943,265
"86","ALB","MDW",29.7095588235294,272
"87","ALB","MSP",36.5220125786164,159
"88","ALB","ORD",45.7941507311586,889
"89","ALB","PHL",31.0223880597015,134
"90","ALB","TPA",34.9166666666667,84
"91","ALO","MSP",57.4421052631579,95
"92","AMA","ABQ",25.4362139917695,243
"93","AMA","DAL",25.4176632934683,1087
"94","AMA","DEN",24.1147540983607,61
"95","AMA","DFW",35.1224489795918,1274
"96","AMA","IAH",28.7467532467532,308
"97","AMA","LAS",27.6148648648649,148
"98","ANC","ADK",25.3548387096774,31
"99","ANC","ADQ",23.21484375,256
"100","ANC","AKN",31.4150943396226,106
"101","ANC","ATL",39.8795180722892,83
"102","ANC","BET",25.5632183908046,435
"103","ANC","CDV",31.4408602150538,186
"104","ANC","CVG",20.6451612903226,62
"105","ANC","DEN",25.9255813953488,215
"106","ANC","DFW",56.9259259259259,81
"107","ANC","DLG",19.0845070422535,71
"108","ANC","DTW",13,20
"109","ANC","FAI",27.5227427019688,1473
"110","ANC","HNL",22.5,4
"111","ANC","IAH",35.6666666666667,195
"112","ANC","JNU",33.8263772954925,599
"113","ANC","KOA",47.4285714285714,7
"114","ANC","LAS",29.6280487804878,164
"115","ANC","LAX",25.0192307692308,208
"116","ANC","MSP",36.6405405405405,370
"117","ANC","OGG",27.9777777777778,45
"118","ANC","OME",27.9867549668874,151
"119","ANC","ORD",33.5524193548387,248
"120","ANC","OTZ",29.1218836565097,361
